name	token	tags
Michael Gove	Michael_Gove	Brexit
Gisela Stuart	Gisela_Stuart	Brexit
Matthew Elliott	Matthew_Elliott	Brexit
Dominic Cummings	Dominic_Cummings	Brexit
Boris Johnson	Boris_Johnson	Brexit
Steve Baker	Steve_Baker	Brexit
Douglas Carswell	Douglas_Carswell	Brexit
Ian Davidson	Ian_Davidson	Brexit
Nigel Dodds	Nigel_Dodds	Brexit
Iain Duncan Smith	Iain_Duncan_Smith	Brexit
Theresa May	Theresa_May	Brexit
David Cameron	David_Cameron	B_Remain
Jeremy Corbyn	Jeremy_Corbyn	Brexit
Tony Blair	Tony_Blair	Brexit
Sadiq Khan	Sadiq_Khan	B_Remain
John McDonnell	John_McDonnell	B_Remain
David Miliband	David_Miliband	B_Remain
