id,replies
,"RT @KatyCharts: Highest-Paid women this decade according to the Forbes Annual List:

1. @taylorswift13 — $825M
2. @Beyonce — $713M
3. @katy…"
,RT @Elodie0DC: @LittleMix #BounceBack @TiniStoessel #SadSong @taylorswift13 #YNTCD @_ruggero #Probablemente @ShawnMendes #Senorita @Sebasti…
,@LittleMix #BounceBack @TiniStoessel #SadSong @taylorswift13 #YNTCD @_ruggero #Probablemente @ShawnMendes #Senorita… https://t.co/msYFPSamEs
,RT @hotnroulette: My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry. https://t.co/zlN6Rs512p
,RT @KPIsOurQueen: My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry https://t.co/cTMnZ6KNVt
,"RT @TheKPVotes: || STATS #TeenChoice ||
(#ChoiceSummerFemaleArtist) 

#1. @katyperry - 58.9k (+52.1k votos)

#2. Taylor Swift - 10.3k (+5.2…"
,"RT @TheKPVotes: How many RETWEETS can Katy Perry get?

My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry https://t.co/jxMG5tReaC"
,RT @JuanPabloAA1: @TeenChoiceFOX My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry
,RT @Katymysweetie: My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry
,"RT @TheKPVotes: ▪ 100 RTs = 100 VOTOS ▪

My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry https://t.co/59aF8EbYal"
,RT @Katymysweetie: @katys_rhythm @katyperry My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry
,"RT @Ismael31050131: RETWEET! RETWEET! and stream Never Really Over 
My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry https://t.co…"
,RT @SasatoreS: My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry https://t.co/QckEmiUhTp https://t.co/HFzhdLp1C2
,"RT @TopMUniverse: Highest-Paid women this decade according to the Forbes Annual List:

1. @taylorswift13 — $825M
2. @Beyonce — $713M
3. @ka…"
,"RT @FehmillsBorges: Quero bastante RT aqui, vamos nos esforçar para a Katy ser premiada. Ela merece

My #TeenChoice for #ChoiceSummerFemale…"
,"RT @FehmillsBorges: META : DEZ RTs

My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry"
,"RT @SuporteKp_Midia: Segundo a Forbes, a ‘Witness: The Tour’ arrecadou 117 milhões de dólares em 115 shows realizados nos 5 continentes.…"
,"RT @lovelightperry: Forbes’ Top 4 Highest Paid Female Musicians 2019:

1. Taylor Swift – $185M
2. Beyoncé – $81M
3. Rihanna – $62M
4. Katy…"
,"RT @CebadaBarranco: RT TO VOTE FOR KATY!❣️

My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry https://t.co/yqQCucIArn"
,RT @katyperrycoven: My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry 🌚🙌🏼 https://t.co/6Un2V0vpgd
,RT @Jou_Lucio9: My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry
,"RT @KatyCharts: Goals: 600 RTs and 500 replys with the hashtags.

My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry https://t.co/J…"
,RT @JouLucio: My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry
,RT @DanielMsPuerta1: My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry a
,"RT @EnriqueKpMon: COMPLETE THE MUSIC:

N - 5 RT's
E - 10 RT's
V - 15 RT's
E - 20 RT's
R - 25 RT's

R - 30 RT's
E - 35 RT's
A - 40 RT's
L -…"
,RT @Mariand_2001: @KATYPERRYWRLD @fishingperry @katyperry My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry
,"RT @TheKPVotes: 1 RT = 1 VOTO

10 RTs = 10 VOTOS

100 RTs = 100 VOTOS

My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry https://t…"
