Official Twitter Account,Media name,Conservative score,leaning
@timesofindia,Times of India,0.04,
@TheEconomist ‏,The Economist,0.12,
@northjersey,North Jersey.com,0.14,
@ocregister,Orange Country Register,0.15,
@mercnews),San Jose Mercury News,0.17,
@njdotcom,NewJersey.com,0.17,
@sfchronicle ‏,San Francisco Chronicle,0.19,
@baltimoresun ‏,Baltimore Sun,0.19,
@hartfordcourant ‏,Hartford Courant,0.22,
@Jerusalem_Post ‏,Jerusalem Post,0.25,
@PRNewswire ‏,PR Newswire,0.27,
@SunSentinel ‏,South Florida Sun Sentinal,0.27,
@nationalpost ‏,National Post ,0.28,
@TorontoStar ‏,Toronto Star ,0.28,
@BBCNews,BBC ,0.30,
@WickedLocal ‏,Wicked Local,0.30,
@nytimes ‏,New York Times,0.31,
@Independent,The Independent,0.32,
@phillyherald,Philadelphia Herald,0.32,
@THR ‏,Hollywood Reporter,0.33,
@MiamiHerald ‏,Miami Herald,0.35,
@HuffPost,Huffington Post,0.35,
@guardian ‏,The Guardian,0.37,
@washingtonpost,Washington Post,0.37,
@WSJ,Wall Street Journal,0.39,
@CNETNews,News.com,0.39,
@dailykos,Daily Kos,0.39,
@business,Bloomberg,0.39,
@dailyfn,Daily Finance,0.39,
@syracusedotcom,Syracuse Gazette,0.39,
@usnews ‏,US News and World Report,0.39,
@timesunion,Times Union,0.40,
@TIME,TIME Magazine,0.40,
@Reuters,Reuters,0.41,
@dailytelegraph ‏,Daily Telegraph,0.41,
@BW,Business Week,0.42,
@CNN,CNN,0.42,
@politico ‏,Politico,0.42,
@TheAtlantic ‏,The Atlantic,0.42,
@nationaljournal ‏,National Journal,0.43,
@AlterNet ‏,Alternet,0.43,
@ajc ‏,Atlanta Journal Constitution,0.44,
@Forbes ‏,Forbes,0.44,
@seattletimes ‏,Seattle Times,0.44,
@RawStory ‏,The Raw Story,0.44,
@Newsday,News Day,0.44,
@CBS,CBS,0.45,
@RT_com ‏,Russia Today,0.45,
@EpochTimes ‏,The Epoch Times,0.46,
@latimes ‏,Los Angeles Times,0.47,
@csmonitor ‏,Christian Science Monitor,0.47,
@RealClearNews ‏,Real Clear Politics ,0.47,
@USATODAY ‏,USA Today,0.47,
@CNBC ‏,CNBC,0.47,
@MailOnline ‏,The Daily Mail,0.47,
@DailyMirror ‏,Daily Mirror,0.47,
@YahooNews ‏,Yahoo! News,0.47,
@ABC ‏,ABC News,0.48,
@UPI ‏,United Press International,0.48,
@chicagotribune ‏,Chicago Tribune,0.49,
@AP,Associated Press,0.50,
@NBCNews ‏,NBC News,0.50,
@Suntimes ‏,Chicago Sun-Times,0.51,
@freep ‏,Detroit Free Press,0.52,
@azcentral,Arizona Republic,0.53,
@TB_Times,Tamba Bay Times,0.54,
@orlandosentinel ‏,Orlando Sentinel,0.54,
@thehill,The Hill,0.57,
@NRO,The National Review,0.57,
@SkyUK,SKY,0.58,
@detroitnews,Detroit News,0.59,
@Daily_Express,The Daily Express,0.59,
@weeklystandard ‏,The Weekly Standard,0.59,
@FoxNews ‏,Fox News,0.59,
@wtimespolitics ‏,Washington Times,0.59,
@journalsentinel ‏,Milwaukee Journal Sentinel,0.61,
@newsmax ‏,Newsmax,0.61,
@factcheckdotorg ‏,factcheck.org,0.62,
@reason ‏,Reason Magazine,0.63,
@washexaminer ‏,Washington Examiner,0.63,
@ecanadanow,E Canada Now,0.63,
@AmericanThinker ‏,American Thinker,0.65,
@PioneerPress ‏,St. Paul Pioneer Press,0.67,
@jaxdotcom ‏,Florida Times Union,0.67,
@OpposingViews ‏,Opposing Views,0.67,
@HoustonChron ‏,Houston Chronicle,0.67,
@StarTribune,Minneapolis Star Tribune,0.68,
@BreitbartNews ‏,Breitbart,0.70,
@startelegram,Ft. Worth Star-Telegram,0.74,
@stltoday ‏,St. Louis Post-Dispatch,0.75,
@ExpressNews ‏,San Antonio Express News,0.77,
@denverpost ‏,Denver Post,0.80,
@TribLIVE,Pittburg Tribune-Review,0.85,
@sltrib ‏,Salt Lake Tribune,0.85,
@dallasnews ‏,Dallas Morning News,0.86,
@KCStar ‏,Kansas City Star,0.93,
@DeseretNews ‏,Deseret News,0.94,
@Topix,Topix,0.96,
@knoxnews ‏,Knoxville News Sentinel,0.96,
@aldotcom,Huntsville News/Mobile Press Register/Birmingham News,1.00,
